,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Parsed,Hospital,Prompt,Distressed
91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,llama3.170b,6.0,10.0,3.0,35.0,79.54545454545455,77.77777777777779,78.65168539325843,72.91666666666666,True,NYGH,Normal,False
92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,gemma327b,12.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,SickKids,Normal,True
93,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,llama3.170b,,,,,,,,,False,SickKids,Normal,True
94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,mistral(24b),,,,,,,,,False,SickKids,Normal,True
95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,llama3.170b,,,,,,,,,False,SickKids,Normal,False
96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,gemma327b,,,,,,,,,False,SickKids,Normal,False
97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,mistral(24b),,,,,,,,,False,SickKids,Normal,False
98,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,llama3.170b,7.0,11.0,2.5,34.5,78.4090909090909,75.82417582417582,77.09497206703911,71.875,True,Trillium,Normal,True
99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,gemma327b,12.0,41.0,1.0,6.0,31.57894736842105,12.76595744680851,18.18181818181818,12.5,True,Trillium,Normal,True
100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,mistral(24b),12.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,True,Trillium,Normal,True
101,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,gemma327b,8.0,31.0,3.0,14.0,56.00000000000001,31.11111111111111,40.0,29.166666666666668,True,Trillium,Normal,False
102,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,llama3.170b,10.0,11.0,4.5,32.5,69.14893617021278,74.71264367816092,71.82320441988949,67.70833333333334,True,Trillium,Normal,False
103,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,mistral(24b),15.0,34.0,0.5,13.5,46.55172413793103,28.421052631578945,35.29411764705882,28.125,True,Trillium,Normal,False
