LLM,False Positives,False Negatives,Incorrect Extractions,Correct Matches,Precision,Recall,F1score,Accuracy,Source,Hospital
qwen2.5vl3b*ImageInput*,9.0,42.0,8.0,31.0,77.5,42.465753424657535,54.86725663716814,41.333333333333336,Ollama,hospital2
gpt-4.1-nano*ImageInput*,0.0,34.0,0.0,40.0,100.0,54.054054054054056,70.17543859649123,53.333333333333336,OpenAi,hospital1
gpt-4o*ImageInput*,1.0,34.0,0.0,39.0,97.5,53.42465753424658,69.02654867256638,52.0,OpenAi,hospital1
gpt-4o-mini*ImageInput*,1.0,34.0,0.0,39.0,97.5,53.42465753424658,69.02654867256638,52.0,OpenAi,hospital1
gpt-4o*ImageInput*,24.0,40.0,22.0,32.0,57.14285714285714,44.44444444444444,49.99999999999999,42.66666666666667,OpenAi,hospital2
gpt-4o-mini*ImageInput*,1.0,44.0,0.0,29.0,96.66666666666669,39.726027397260275,56.310679611650485,38.666666666666664,OpenAi,hospital2
gpt-4.1-nano*ImageInput*,5.0,42.0,5.0,32.0,86.48648648648648,43.24324324324324,57.65765765765765,42.66666666666667,OpenAi,hospital2
llama3.23b,5.0,14.0,2.0,25.0,83.33333333333334,64.1025641025641,72.46376811594203,59.523809523809526,Ollama,hospital1
qwen31.7b,19.0,8.0,5.0,20.0,51.28205128205128,71.42857142857143,59.70149253731343,47.61904761904761,Ollama,hospital1
granite3.2,12.0,14.0,4.0,19.0,61.29032258064516,57.57575757575758,59.375,45.23809523809524,Ollama,hospital1
gemma31b-it-qat,17.0,19.0,8.0,14.0,45.16129032258064,42.42424242424242,43.74999999999999,33.33333333333333,Ollama,hospital1
gemma34b,13.0,14.0,5.0,20.0,60.60606060606061,58.82352941176471,59.701492537313435,47.61904761904761,Ollama,hospital1
llama3.21b,2.0,25.0,0.0,15.0,88.23529411764706,37.5,52.631578947368425,35.714285714285715,Ollama,hospital1
qwen2.5vl3b,9.0,16.0,3.0,20.0,68.96551724137932,55.55555555555556,61.53846153846154,47.61904761904761,Ollama,hospital1
gemma34b,10.0,17.0,10.0,25.0,71.42857142857143,59.523809523809526,64.93506493506493,59.523809523809526,Ollama,hospital2
granite3.2,10.0,29.0,9.0,12.0,54.54545454545454,29.268292682926827,38.09523809523809,28.57142857142857,Ollama,hospital2
llama3.23b,7.0,25.0,6.0,16.0,69.56521739130434,39.02439024390244,49.99999999999999,38.095238095238095,Ollama,hospital2
qwen2.5vl3b,12.0,19.0,12.0,23.0,65.71428571428571,54.761904761904766,59.74025974025974,54.761904761904766,Ollama,hospital2
gemma31b-it-qat,4.0,17.0,4.0,25.0,86.20689655172413,59.523809523809526,70.42253521126761,59.523809523809526,Ollama,hospital2
qwen31.7b,13.0,20.0,13.0,22.0,62.857142857142854,52.38095238095239,57.142857142857146,52.38095238095239,Ollama,hospital2
qwen2.5vl3b*ImageInput*,17.0,15.0,6.0,16.0,48.48484848484848,51.61290322580645,49.99999999999999,38.095238095238095,Ollama,hospital1
granite3.2,1.0,24.0,0.0,17.0,94.44444444444444,41.46341463414634,57.6271186440678,40.476190476190474,Ollama,hospital1
gemma34b*ImageInput*,13.0,17.0,6.0,18.0,58.06451612903226,51.42857142857142,54.54545454545455,42.857142857142854,Ollama,hospital1
gemma34b*ImageInput*,13.0,20.0,13.0,22.0,62.857142857142854,52.38095238095239,57.142857142857146,52.38095238095239,Ollama,hospital2
granite3.2,4.0,12.0,4.0,30.0,88.23529411764706,71.42857142857143,78.94736842105263,71.42857142857143,Ollama,hospital2
qwen2.5vl3b*ImageInput*,13.0,28.0,13.0,13.0,50.0,31.70731707317073,38.80597014925373,30.952380952380953,Ollama,hospital2
gpt-4.1-nano*ImageInput*,1.0,24.0,1.0,18.0,94.73684210526316,42.857142857142854,59.01639344262294,42.857142857142854,OpenAi,hospital1
gpt-4o*ImageInput*,26.0,22.0,14.0,7.0,21.21212121212121,24.13793103448276,22.58064516129032,16.666666666666664,OpenAi,hospital1
gpt-4o-mini*ImageInput*,1.0,24.0,0.0,17.0,94.44444444444444,41.46341463414634,57.6271186440678,40.476190476190474,OpenAi,hospital1
gpt-4o*ImageInput*,24.0,30.0,22.0,9.0,27.27272727272727,23.076923076923077,25.0,21.428571428571427,OpenAi,hospital2
gpt-4o-mini*ImageInput*,1.0,34.0,0.0,7.0,87.5,17.073170731707318,28.571428571428573,16.666666666666664,OpenAi,hospital2
gpt-4.1-nano*ImageInput*,5.0,32.0,5.0,10.0,66.66666666666666,23.809523809523807,35.08771929824561,23.809523809523807,OpenAi,hospital2
gpt-4.1-nano,15.0,7.0,4.0,24.0,61.53846153846154,77.41935483870968,68.57142857142857,57.14285714285714,OpenAI,hospital1
gpt-4o,11.0,7.0,3.0,27.0,71.05263157894737,79.41176470588235,75.0,64.28571428571429,OpenAI,hospital1
gpt-4o-mini,17.0,5.0,2.0,22.0,56.41025641025641,81.48148148148148,66.66666666666667,52.38095238095239,OpenAI,hospital1
gpt-4o,13.0,13.0,9.0,25.0,65.78947368421053,65.78947368421053,65.78947368421053,59.523809523809526,OpenAI,hospital2
gpt-4o-mini,11.0,13.0,8.0,26.0,70.27027027027027,66.66666666666666,68.42105263157893,61.904761904761905,OpenAI,hospital2
gpt-4.1-nano,12.0,15.0,9.0,24.0,66.66666666666666,61.53846153846154,64.0,57.14285714285714,OpenAI,hospital2
NuExtract:0.5B,1.0,1.0,1.0,41.0,97.61904761904762,97.61904761904762,97.61904761904762,97.61904761904762,huggingface,hospital1
NuExtract:2B,1.0,1.0,1.0,41.0,97.61904761904762,97.61904761904762,97.61904761904762,97.61904761904762,huggingface,hospital1
NuExtract:2B,1.0,1.0,1.0,41.0,97.61904761904762,97.61904761904762,97.61904761904762,97.61904761904762,huggingface,hospital2
NuExtract:0.5B,1.0,1.0,1.0,41.0,97.61904761904762,97.61904761904762,97.61904761904762,97.61904761904762,huggingface,hospital2
llama3.23b,5.0,14.0,2.0,25.0,83.33333333333334,64.1025641025641,72.46376811594203,59.523809523809526,Ollama,hospital1
qwen31.7b,19.0,8.0,5.0,20.0,51.28205128205128,71.42857142857143,59.70149253731343,47.61904761904761,Ollama,hospital1
granite3.2,12.0,14.0,4.0,19.0,61.29032258064516,57.57575757575758,59.375,45.23809523809524,Ollama,hospital1
gemma31b-it-qat,12.0,17.0,6.0,19.0,61.29032258064516,52.77777777777778,56.71641791044776,45.23809523809524,Ollama,hospital1
gemma34b,13.0,14.0,5.0,20.0,60.60606060606061,58.82352941176471,59.701492537313435,47.61904761904761,Ollama,hospital1
llama3.21b,2.0,25.0,0.0,15.0,88.23529411764706,37.5,52.631578947368425,35.714285714285715,Ollama,hospital1
granite3.32b,36.0,28.0,12.0,-11.0,-44.0,-64.70588235294117,0.0,-26.190476190476193,Ollama,hospital1
qwen2.5vl3b,9.0,16.0,3.0,20.0,68.96551724137932,55.55555555555556,61.53846153846154,47.61904761904761,Ollama,hospital1
gemma34b,10.0,17.0,10.0,25.0,71.42857142857143,59.523809523809526,64.93506493506493,59.523809523809526,Ollama,hospital2
granite3.2,10.0,29.0,9.0,12.0,54.54545454545454,29.268292682926827,38.09523809523809,28.57142857142857,Ollama,hospital2
llama3.23b,7.0,25.0,6.0,16.0,69.56521739130434,39.02439024390244,49.99999999999999,38.095238095238095,Ollama,hospital2
gemma31b-it-qat,11.0,20.0,6.0,17.0,60.71428571428571,45.94594594594595,52.30769230769231,40.476190476190474,Ollama,hospital2
qwen2.5vl3b,12.0,19.0,12.0,23.0,65.71428571428571,54.761904761904766,59.74025974025974,54.761904761904766,Ollama,hospital2
gemma31b-it-qat,4.0,17.0,4.0,25.0,86.20689655172413,59.523809523809526,70.42253521126761,59.523809523809526,Ollama,hospital2
qwen31.7b,13.0,20.0,13.0,22.0,62.857142857142854,52.38095238095239,57.142857142857146,52.38095238095239,Ollama,hospital2
gpt-4.1-nano,15.0,7.0,4.0,24.0,61.53846153846154,77.41935483870968,68.57142857142857,57.14285714285714,OpenAI,hospital1
gpt-4o,11.0,7.0,3.0,27.0,71.05263157894737,79.41176470588235,75.0,64.28571428571429,OpenAI,hospital1
gpt-4o-mini,17.0,5.0,2.0,22.0,56.41025641025641,81.48148148148148,66.66666666666667,52.38095238095239,OpenAI,hospital1
gpt-4o,13.0,13.0,9.0,25.0,65.78947368421053,65.78947368421053,65.78947368421053,59.523809523809526,OpenAI,hospital2
gpt-4o-mini,11.0,13.0,8.0,26.0,70.27027027027027,66.66666666666666,68.42105263157893,61.904761904761905,OpenAI,hospital2
gpt-4.1-nano,12.0,15.0,9.0,24.0,66.66666666666666,61.53846153846154,64.0,57.14285714285714,OpenAI,hospital2
qwen2.5vl3b*ImageInput*,17.0,15.0,6.0,16.0,48.48484848484848,51.61290322580645,49.99999999999999,38.095238095238095,Ollama,hospital1
granite3.2*ImageInput*,1.0,24.0,0.0,17.0,94.44444444444444,41.46341463414634,57.6271186440678,40.476190476190474,Ollama,hospital1
gemma34b*ImageInput*,13.0,17.0,6.0,18.0,58.06451612903226,51.42857142857142,54.54545454545455,42.857142857142854,Ollama,hospital1
